Cooling Degree Days Mountain Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_MTN.M
22:28:30 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_MTN.M total degree days
Aug 2003,363.40204435
Jul 2003,460.71278896
Jun 2003,240.43557369
May 2003,122.82494037
Apr 2003,23.721843876
Mar 2003,8.2366393006
Feb 2003,1.9952351514
Jan 2003,5.0311856742
Dec 2002,0
Nov 2002,9.5194725448
Oct 2002,44.806305899
Sep 2002,194.60078048
Aug 2002,320.57951966
Jul 2002,419.94710333
Jun 2002,301.13933887
May 2002,107.37601158
Apr 2002,59.471198325
Mar 2002,6.9315541824
Feb 2002,2.5546083129
Jan 2002,0
Dec 2001,0
Nov 2001,13.838746406
Oct 2001,79.409048888
Sep 2001,225.34564402
Aug 2001,344.80985439
Jul 2001,371.20076103
Jun 2001,266.34569803
May 2001,162.79862724
Apr 2001,31.480685713
Mar 2001,10.566364525
Feb 2001,1.1314623073
Jan 2001,0.048933485898
Dec 2000,0
Nov 2000,0
Oct 2000,42.846077765
Sep 2000,203.38535035
Aug 2000,349.39179261
Jul 2000,386.13750005
Jun 2000,263.11561821
May 2000,160.48095829
Apr 2000,58.652525636
Mar 2000,8.7257953872
Feb 2000,4.1098785676
Jan 2000,1.6933033584
Dec 1999,0
Nov 1999,17.839511106
Oct 1999,82.173798346
Sep 1999,176.46415719
Aug 1999,301.58577755
Jul 1999,319.50333817
Jun 1999,210.62133844
May 1999,91.548496578
Apr 1999,14.649920888
Mar 1999,12.018262769
Feb 1999,3.4216223987
Jan 1999,1.1232570825
Dec 1998,0
Nov 1998,5.050489039
Oct 1998,45.948302416
Sep 1998,206.21255497
Aug 1998,338.28671936
Jul 1998,377.88354836
Jun 1998,168.03942371
May 1998,67.950432048
Apr 1998,13.060062083
Mar 1998,5.2144227062
Feb 1998,0.10284982898
Jan 1998,0
Dec 1997,0
Nov 1997,6.8388960723
Oct 1997,46.611214874
Sep 1997,209.05737181
Aug 1997,311.93903069
Jul 1997,316.79426933
Jun 1997,209.6313571
May 1997,157.15739161
Apr 1997,30.266022272
Mar 1997,23.690979217
Feb 1997,1.6675512965
Jan 1997,0
Dec 1996,0
Nov 1996,7.7270620766
Oct 1996,50.51604615
Sep 1996,139.4608178
Aug 1996,322.06722992
Jul 1996,374.43704664
Jun 1996,267.05485371
May 1996,135.08997238
Apr 1996,47.124238412
Mar 1996,11.73375361
Feb 1996,6.7801013711
Jan 1996,1.1049427636
Dec 1995,0
Nov 1995,17.418258362
Oct 1995,65.517714545
Sep 1995,196.33879835
Aug 1995,351.18641342
Jul 1995,315.9454836
Jun 1995,169.43891496
May 1995,59.849389889
Apr 1995,20.539386397
Mar 1995,8.9225283261
Feb 1995,7.854012478
Jan 1995,0
Dec 1994,0
Nov 1994,1.3681667877
Oct 1994,40.131697905
Sep 1994,188.18304104
Aug 1994,359.40054295
Jul 1994,358.52003321
Jun 1994,294.65787158
May 1994,91.673998062
Apr 1994,36.592200326
Mar 1994,14.001400016
Feb 1994,1.0866113769
Jan 1994,0
Dec 1993,0
Nov 1993,2.440287114
Oct 1993,52.986262443
Sep 1993,150.67535939
Aug 1993,251.69033207
Jul 1993,268.06405413
Jun 1993,192.51626677
May 1993,111.55234377
Apr 1993,35.421970141
Mar 1993,9.771316467
Feb 1993,1.3490897136
Jan 1993,1.0788974828
Dec 1992,0
Nov 1992,1.617214015
Oct 1992,68.147815935
Sep 1992,176.56635344
Aug 1992,269.51434555
Jul 1992,271.10020297
Jun 1992,192.74375283
May 1992,110.62661625
Apr 1992,49.28836241
Mar 1992,5.8496097877
Feb 1992,3.7097956531
Jan 1992,0.22770524003
Dec 1991,0
Nov 1991,3.761322072
Oct 1991,72.879138217
Sep 1991,157.13846649
Aug 1991,293.67402209
Jul 1991,310.08859807
Jun 1991,172.9163477
May 1991,68.008235548
Apr 1991,21.863812613
Mar 1991,1.6101263652
Feb 1991,7.5816923549
Jan 1991,0
Dec 1990,0
Nov 1990,6.8014546608
Oct 1990,57.510524735
Sep 1990,185.47015214
Aug 1990,247.96042623
Jul 1990,305.74028832
Jun 1990,269.38637787
May 1990,82.198427081
Apr 1990,44.149300949
Mar 1990,11.513774785
Feb 1990,0
Jan 1990,0.058593994328
